CatId,CatName
102327,Pencil 觸控筆
109448,鍵盤皮套 / 保護套
109449,充電 / 傳輸線
109450,轉接線 / 轉接頭
109526,變壓器 / 充電器
102337,鍵盤/滑鼠
111705,其他
109447,iPhone皮套 / 保護殼套
102331,充電線
116715,TypeC HUB/擴充座
102334,擴充卡
102336,變壓器 / 轉接線
109451,鍵盤/滑鼠
102516,保護殼
102339,保護貼
102338,保護套
102519,Mac 專用包
107971,Mac專用軟體
102340,鍵盤膜
109572,Pencil 觸控筆 / 週邊
102328,鍵盤皮套
102329,皮套 / 保護殼套
102330,保護貼
102508,iPad 專用包
102331,充電器 / 車充
112932,轉接線
102569,支架
102332,其它配件
104879,audio-technica鐵三角
104880,Avantree
111959,AFTERSHOKZ
114790,ALTEAM 我聽 藍牙
106849,BlueAnt
111243,Jaybird
73469,Jabra
114524,AWEI 
91735,B&O
79441,Beats
107415,Beyerdynamic
79789,ASUS
82330,HTC
104872,HUAWEI
81872,SAMSUNG
83251,其他手機品牌
85591,耳機擴大機
79430,耳機線材
104867,耳機掛架
88084,Ergotech 人因
88088,SONY隨身聽 / 播放器
88090,其他品牌
104849,耳機套
104839,音源轉換器
85593,藍牙接收器
113344,ACER智慧穿戴
114223,AFAMIC艾法 智慧手環
97733,ASUS 智慧手錶
116152,Emporio Armani 智能錶
116153,FOSSIL 智能錶
113721,IS愛思 智慧手環/錶
106564,i-gotU 智慧手環
112647,HUAWEI 智慧手環/錶
100721,JSmax 智慧手環/錶
116151,Michael Kors 智能錶
106463,Fitbit
87443,Garmin 運動錶 / 手環
99030,Garmin 運動穿戴配件
87447,EPSON 心率手環 / 手錶
87441,ALATECH
87444,GOLiFE運動錶 / 手環
114340,Mood Booster
99386,mio
87445,SUUNTO 運動 / 登山錶
100877,VR 頭戴裝置
10063,SONY數位相機
10041,Canon 佳能
10042,CASIO 卡西歐
10045,FUJIFILM 富士
10053,Nikon 尼康
116635,Nikon 尼康 - P1000 (New)
10054,OLYMPUS 奧林巴斯
10056,Panasonic 松下
85942,PRAKTICA 德國柏卡
10060,RICOH 理光
61275,FUJIFILM 拍立得
99003,Polaroid 拍立得
113521,PRYNT POCKET即可拍/配件
109708,即可拍
82637,拍立得底片/相紙/相冊
114523,拍立得殼/套/自拍鏡
106162,GoPro 運動攝影機
94247,EZVIZ螢石 運動攝影機
94752,Polaroid 寶麗萊運動攝影機
94704,SONY 運動攝影機
88104,SJCAM 運動攝影機
108119,Sealife 潛水攝影機
106539,YOCAM 防水運動攝影機
88105,其他品牌運動攝影機
88103,brinno 縮時攝影機
94695,HTC RE 迷你攝影機
88098,JVC 攝影機
88100,SONY 手持攝影機
110940,其他品牌攝影機
113470,WiFi 微型攝影機
52793,筆型/眼鏡型
66440,手錶型/手環型
27870,卡通/Q版造型
52533,其他多元化造型
46740,GoPro 原廠配件
105543,Gopro 副廠支架/腳架
105544,Gopro 副廠收納盒/包
96806,Gopro 副廠其他配件
101466,Polaroid 寶麗萊攝影配件
94722,SONY 攝影配件
108477,SJCAM 攝影配件
106398,其他品牌
97044,3DR 空拍機
97033,DJI 空拍機
108448,GoPro 空拍機
109217,Ida 空拍機
97265,Parrot 空拍機
98299,其他品牌空拍機
108545,空拍機收納包/箱
108546,空拍機配件
109260,DJI OSMO/Ronin
109261,FEIYU 飛宇
109262,ZHIYUN 智雲
109263,其他品牌穩定器
108496,穩定器配件
109116,演唱會/歌劇觀賞望遠鏡
109119,運動賽事競技用望遠鏡
112663,藝術文物博物館觀賞
109113,賞鳥生態/動物遷徙望遠鏡
21467,賞鳥/觀靶/攝影單筒望遠鏡
109115,登山旅行生活望遠鏡
108885,天文觀星望遠鏡
109117,航海/羅盤方位望遠鏡
109118,軍用/生存遊戲/夜視望遠鏡
85410,自拍棒
